datatype,country_region,_1_22_20,_1_23_20,_1_24_20,_1_25_20,_1_26_20,_1_27_20,_1_28_20,_1_29_20,_1_30_20,_1_31_20,_2_1_20,_2_2_20,_2_3_20,_2_4_20,_2_5_20,_2_6_20,_2_7_20,_2_8_20,_2_9_20,_2_10_20,_2_11_20,_2_12_20,_2_13_20,_2_14_20,_2_15_20,_2_16_20,_2_17_20,_2_18_20,_2_19_20,_2_20_20,_2_21_20,_2_22_20,_2_23_20,_2_24_20,_2_25_20,_2_26_20,_2_27_20,_2_28_20,_2_29_20,_3_1_20,_3_2_20,_3_3_20,_3_4_20,_3_5_20,_3_6_20,_3_7_20,_3_8_20,_3_9_20,_3_10_20,_3_11_20,_3_12_20,_3_13_20,_3_14_20,_3_15_20,_3_16_20,_3_17_20,_3_18_20,_3_19_20,_3_20_20,_3_21_20,_3_22_20,_3_23_20,_3_24_20,_3_25_20,_3_26_20,_3_27_20,_3_28_20,_3_29_20,_3_30_20,_3_31_20,_4_1_20,_4_2_20,_4_3_20,_4_4_20,_4_5_20,_4_6_20,_4_7_20,_4_8_20,_4_9_20,_4_10_20,_4_11_20,_4_12_20,_4_13_20,_4_14_20,_4_15_20,_4_16_20,_4_17_20,_4_18_20,_4_19_20,_4_20_20,_4_21_20,_4_22_20,_4_23_20,_4_24_20,_4_25_20,_4_26_20,_4_27_20,_4_28_20,_4_29_20,_4_30_20,_5_1_20,_5_2_20,_5_3_20,_5_4_20,_5_5_20,_5_6_20,_5_7_20,_5_8_20,_5_9_20,_5_10_20,_5_11_20,_5_12_20,_5_13_20,_5_14_20,_5_15_20,_5_16_20,_5_17_20,_5_18_20,_5_19_20,_5_20_20,_5_21_20,_5_22_20,_5_23_20,_5_24_20,_5_25_20,_5_26_20,_5_27_20,_5_28_20,_5_29_20,_5_30_20,_5_31_20,_6_1_20,_6_2_20,_6_3_20,_6_4_20,_6_5_20,_6_6_20,_6_7_20,_6_8_20,_6_9_20,_6_10_20,_6_11_20,_6_12_20,_6_13_20,_6_14_20,_6_15_20,_6_16_20,_6_17_20,_6_18_20,_6_19_20
Recovered,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,8,8,12,12,12,12,17,17,105,121,147,176,178,178,348,361,681,869,1072,2665,5644,7024,8474,9001,9707,14652,17448,19581,21763,23559,25410,28790,31270,32988,43482,47763,52096,54703,58545,64840,70337,72329,75204,77366,80203,99079,100372,106988,111424,115936,120720,153947,164015,175382,180152,187180,189791,189910,195036,198993,212534,216169,232733,230287,243430,246414,250747,268376,272265,283178,289392,294312,298418,350135,361239,366736,379157,384902,391508,399991,406446,416461,444758,458231,463868,479258,485002,491706,500849,506367,518522,524855,533504,540292,547386,556606,561816,576334,583503,592191,599115,606715
Confirmed,US,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,15,15,15,16,16,24,30,53,73,104,174,222,337,451,519,711,1109,1561,2157,2870,2968,4360,6141,8914,14153,19479,25818,33756,43845,54108,66044,84080,102254,122054,141194,162690,188701,214194,244593,276535,309699,337573,367210,397992,429686,464442,497943,527958,556517,581810,608845,637974,669272,701996,730317,756375,783716,809213,837414,871617,907908,940829,968517,990993,1015518,1042926,1072667,1106829,1136024,1161611,1184086,1208271,1233527,1261409,1288566,1314306,1334084,1352962,1374914,1396109,1423726,1449026,1474127,1493131,1514839,1535337,1558949,1584486,1608623,1630450,1651239,1670209,1689057,1707423,1730259,1754747,1778993,1799122,1816476,1837367,1857248,1878543,1903854,1926538,1944309,1961781,1979868,2000702,2023590,2048986,2074526,2094058,2114026,2137731,2163290,2191052,2222579
Deaths,US,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,12,14,17,21,22,28,32,43,52,59,72,100,134,191,269,366,456,600,784,1019,1329,1736,2284,2921,3546,4352,5568,6787,8349,9646,10912,12323,13985,16290,18369,20415,22486,24498,26238,28036,30429,32944,35031,37621,39966,41148,42918,45314,47649,49969,51746,54015,55162,56502,58632,61252,63291,65243,66668,67990,69237,71387,73775,75986,77495,79122,79856,81018,82709,84452,86229,87862,89084,89893,90683,92252,93775,95020,96296,97406,98039,98541,99239,100744,101937,103113,104054,104659,105430,106461,107444,108479,109449,110124,110575,111068,112014,112935,113823,114669,115436,115732,116127,116963,117717,118432,119124
